date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size,line,genotype
2024-09-05,Purple1,559,20231117,Male,496.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),25.0,385,0.896103896103896,0.0441558441558442,20240905112835_35.5989921838045_1.34361341917755,15,SD,WT
2024-09-06,Purple1,559,20231117,Male,491.0,LE,,,32kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,358,0.759776536312849,0.162011173184358,20240906111628_151.873004436493_1.44806943351783,15,SD,WT
2024-09-07,Purple1,559,20231117,Male,494.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),24.0,372,0.879032258064516,0.0537634408602151,20240907111359_11.5870021283627_1.44767392999272,15,SD,WT
2024-09-09,Purple1,559,20231117,Male,500.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),22.0,330,0.924242424242424,0.0515151515151515,20240909112703_264.69299197197_1.2708338772502,15,SD,WT
2024-09-10,Purple1,559,20231117,Male,503.0,LE,,,16kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,368,0.763586956521739,0.179347826086957,20240910111527_205.431002005935_1.60344777600059,15,SD,WT
2024-09-11,Purple1,559,20231117,Male,498.0,LE,,,8kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,367,0.711171662125341,0.20708446866485,20240911113412_61.8579927831888_1.72033167715625,15,SD,WT
2024-09-12,Purple1,559,20231117,Male,488.0,LE,,,8kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,365,0.843835616438356,0.073972602739726,20240912111123_80.3230002522469_1.30287751709323,15,SD,WT
2024-09-13,Purple1,559,20231117,Male,503.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),24.0,365,0.895890410958904,0.0575342465753425,20240913111701_147.249995917082_1.58709703787573,15,SD,WT
2024-09-14,Purple1,559,20231117,Male,498.0,LE,,,4kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),23.0,354,0.635593220338983,0.220338983050848,20240914112253_121.289002150297_1.81429534336529,15,SD,WT
2024-09-16,Purple1,559,20231117,Male,503.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),22.0,331,0.954682779456193,0.0241691842900302,20240916111008_53.7029977887869_1.14197241212917,15,SD,WT
2024-09-17,Purple1,559,20231117,Male,496.0,LE,,,32kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,374,0.799465240641711,0.0909090909090909,20240917111558_94.6149967610836_1.58885017353379,15,SD,WT
2024-09-18,Purple1,559,20231117,Male,483.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),25.0,375,0.738666666666667,0.0933333333333333,20240918112535_23.3539972454309_1.33800501766108,15,SD,WT
2024-09-19,Purple1,559,20231117,Male,494.0,LE,,,8kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),24.0,368,0.790760869565217,0.10054347826087,20240919111509_106.446002796292_1.56197081695116,15,SD,WT
2024-09-21,Purple1,559,20231117,Male,478.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),25.0,376,0.867021276595745,0.0478723404255319,20240921112415_46.2850034236908_1.03740351032514,15,SD,WT
2024-09-24,Purple1,559,20231117,Male,496.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,365,0.961643835616438,0.0136986301369863,20240924112530_173.396001756191_1.44710148634397,15,SD,WT
2024-09-25,Purple1,559,20231117,Male,503.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,373,0.798927613941019,0.123324396782842,20240925112430_21.7860013246536_1.2891244312009,15,SD,WT
2024-09-26,Purple1,559,20231117,Male,499.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),23.0,356,0.879213483146067,0.0617977528089888,20240926112721_101.076005771756_1.59248479527685,15,SD,WT
2024-09-27,Purple1,559,20231117,Male,508.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,365,0.8,0.0986301369863014,20240927112406_25.3829944878817_1.58887389656961,15,SD,WT
2024-09-28,Purple1,559,20231117,Male,501.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,366,0.898907103825137,0.0737704918032787,20240928112144_153.581001609564_1.22413616280689,15,SD,WT
2024-09-30,Purple1,559,20231117,Male,494.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),25.0,380,0.897368421052632,0.068421052631579,20240930110943_73.545004427433_1.42212690342603,15,SD,WT
2024-10-01,Purple1,559,20231117,Male,491.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),22.0,334,0.907185628742515,0.0718562874251497,20241001112107_25.2290021628141_1.03025726139355,15,SD,WT
2024-10-02,Purple1,559,20231117,Male,490.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,368,0.866847826086957,0.0679347826086957,20241002111549_148.819993436337_1.51229390775101,15,SD,WT
2024-10-03,Purple1,559,20231117,Male,495.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),25.0,377,0.917771883289125,0.0397877984084881,20241003111514_215.081995725632_1.73177607389329,15,SD,WT
2024-10-04,Purple1,559,20231117,Male,497.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),26.0,390,0.794871794871795,0.102564102564103,20241004111554_55.3349945694208_1.8723736149555,15,SD,WT
2024-10-05,Purple1,559,20231117,Male,501.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),24.0,369,0.905149051490515,0.0650406504065041,20241005111434_88.3650004863739_1.15618193070271,15,SD,WT
2024-10-07,Purple1,559,20231117,Male,499.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),21.0,320,0.86875,0.075,20241007112704_108.528992906213_1.32425014191352,15,SD,WT
2024-10-08,Purple1,559,20231117,Male,505.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),23.0,355,0.940845070422535,0.0422535211267606,20241008112657_248.509997874498_1.5423718395026,15,SD,WT
2024-10-09,Purple1,559,20231117,Male,503.0,LE,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 3,train,Oddball (Standard),22.0,336,0.943452380952381,0.0446428571428571,20241009112119_25.8320063352585_1.15525655512545,15,SD,WT
